tiempo,voltaje
250.266,-245.712
250.288,-191.055
250.291,-201.307
250.300,-249.631
250.308,-163.652
250.317,-245.444
250.326,-191.189
250.339,-201.307
250.349,-250.720
250.357,-164.322
250.370,-245.712
250.376,-191.457
250.387,-200.503
250.397,-250.988
250.411,-164.858
250.416,-244.908
250.428,-191.859
250.437,-199.816
250.446,-251.122
250.458,-164.188
250.469,-244.506
250.477,-192.663
250.488,-199.682
250.496,-251.256
250.506,-164.322
250.518,-243.702
250.530,-192.663
250.537,-199.280
250.546,-250.988
250.556,-163.786
250.568,-244.104
250.578,-193.350
250.588,-198.208
250.599,-251.524
250.606,-163.920
250.629,-243.702
250.630,-194.154
250.640,-198.208
250.646,-251.658
250.657,-163.652
250.666,-243.149
250.679,-194.690
250.690,-197.806
250.697,-251.658
250.706,-163.652
250.716,-242.881
250.727,-195.226
250.737,-197.387
250.751,-252.881
250.757,-164.456
250.766,-243.015
250.777,-196.181
250.786,-197.521
250.799,-253.015
250.809,-163.920
250.817,-242.345
250.828,-194.020
250.836,-196.583
250.846,-252.881
250.860,-163.920
250.869,-242.077
250.878,-196.583
250.889,-196.047
250.896,-252.881
250.906,-164.188
250.920,-241.541
250.929,-196.851
250.936,-195.377
250.947,-253.953
250.968,-164.188
250.969,-241.407
250.978,-197.672
250.990,-195.377
250.997,-253.283
251.016,-163.518
251.017,-241.407
251.029,-196.181
251.039,-195.226
251.046,-253.685
251.056,-164.322
251.076,-241.407
251.077,-199.280
251.087,-194.556
251.101,-253.551
251.108,-163.786
251.116,-240.720
251.127,-199.280
251.137,-194.154
251.150,-254.087
251.157,-163.920
251.166,-241.122
251.183,-199.816
251.187,-193.752
251.197,-257.605
251.207,-164.590
251.216,-240.050
251.232,-200.905
251.237,-193.350
251.247,-253.685
251.256,-164.456
251.266,-240.318
251.276,-201.441
251.293,-192.931
251.296,-254.489
251.307,-163.786
251.316,-239.916
251.326,-200.503
251.341,-192.395
251.347,-254.623
251.356,-163.920
251.367,-239.782
251.376,-202.261
251.386,-191.457
251.397,-255.444
251.407,-164.858
251.418,-238.961
251.426,-202.529
251.436,-191.323
251.456,-255.176
251.457,-164.724
251.469,-238.961
251.479,-203.601
251.487,-191.055
251.497,-255.444
251.517,-164.322
251.519,-238.559
251.530,-204.003
251.540,-190.369
251.547,-255.310
251.566,-164.322
251.567,-238.559
251.577,-204.003
251.588,-190.921
251.596,-255.712
251.607,-165.410
251.627,-238.559
251.629,-205.360
251.638,-189.564
251.647,-254.891
251.658,-164.456
251.670,-237.755
251.679,-204.824
251.690,-189.832
251.697,-255.712
251.708,-165.126
251.716,-237.755
251.735,-205.762
251.738,-189.028
251.749,-255.712
251.758,-166.348
251.766,-236.951
251.784,-206.164
251.787,-187.940
251.797,-255.712
251.808,-164.724
251.817,-236.399
251.827,-206.164
251.843,-187.940
251.858,-164.188
251.867,-235.997
251.876,-206.566
251.891,-187.136
251.898,-255.846
251.908,-164.858
251.917,-236.265
251.926,-207.655
251.936,-187.136
251.952,-255.846
251.961,-164.724
251.967,-235.327
251.976,-207.923
251.986,-186.734
252.000,-255.846
252.009,-164.992
252.018,-235.997
252.029,-208.727
252.036,-186.466
252.046,-255.846
252.059,-164.858
252.068,-234.238
252.076,-208.325
252.088,-185.913
252.096,-255.846
252.108,-165.260
252.123,-209.682
252.130,-210.352
252.138,-186.734
252.147,-256.248
252.167,-165.126
252.168,-234.925
252.177,-210.620
252.190,-186.332
252.197,-256.516
252.217,-165.410
252.218,-234.238
252.230,-210.486
252.241,-184.975
252.248,-255.846
252.256,-165.260
252.277,-234.238
252.279,-211.709
252.288,-185.377
252.296,-256.516
252.309,-165.946
252.316,-234.104
252.328,-211.290
252.341,-184.841
252.347,-256.516
252.358,-165.812
252.366,-233.970
252.376,-212.111
252.394,-184.707
252.397,-256.784
252.407,-165.812
252.417,-233.300
252.426,-212.647
252.442,-183.350
252.447,-256.248
252.456,-165.410
252.467,-232.496
252.476,-214.941
252.487,-183.216
252.502,-256.516
252.510,-165.946
252.517,-232.496
252.526,-214.941
252.537,-183.082
252.550,-256.516
252.559,-165.812
252.566,-232.077
252.579,-214.941
252.587,-182.412
252.597,-256.114
252.610,-166.348
252.619,-231.675
252.627,-216.164
252.637,-182.412
252.647,-256.248
252.658,-166.348
252.668,-230.469
252.681,-215.745
252.687,-181.876
252.696,-255.980
252.718,-166.616
252.719,-230.871
252.728,-217.102
252.738,-182.010
252.750,-248.827
252.756,-167.420
252.769,-232.228
252.778,-218.459
252.787,-182.278
252.798,-256.114
252.807,-167.286
252.827,-231.273
252.828,-218.174
252.838,-182.010
252.847,-257.186
252.859,-167.554
252.866,-230.067
252.876,-218.325
252.887,-181.055
252.899,-257.052
252.908,-167.705
252.917,-230.603
252.934,-218.861
252.936,-180.519
252.949,-256.650
252.958,-167.286
252.966,-229.933
252.985,-219.263
252.987,-180.787
252.998,-257.186
253.009,-167.420
253.017,-229.933
253.026,-219.933
253.042,-180.117
253.046,-257.052
253.056,-167.420
253.069,-229.380
253.076,-220.335
253.090,-179.983
253.101,-256.248
253.109,-168.107
253.117,-229.648
253.126,-220.888
253.137,-179.447
253.152,-256.248
253.157,-167.705
253.168,-228.442
253.176,-221.290
253.186,-178.224
253.199,-256.516
253.208,-168.643
253.216,-228.442
253.228,-221.290
253.236,-178.492
253.246,-256.248
253.259,-168.643
253.269,-228.040
253.277,-221.558
253.290,-178.090
253.296,-256.382
253.307,-168.643
253.321,-227.638
253.327,-221.960
253.337,-177.822
253.346,-256.784
253.364,-169.045
253.367,-227.906
253.377,-223.049
253.386,-177.420
253.397,-256.114
253.411,-169.045
253.418,-227.906
253.426,-223.317
253.437,-177.956
253.446,-255.980
253.456,-168.911
253.472,-226.549
253.478,-223.451
253.488,-178.090
253.496,-256.516
253.506,-169.313
253.520,-227.219
253.529,-223.987
253.536,-177.286
253.549,-255.980
253.556,-169.179
253.566,-226.415
253.580,-224.389
253.590,-176.734
253.597,-255.846
253.609,-169.179
253.616,-225.879
253.629,-224.791
253.638,-175.796
253.648,-256.114
253.658,-169.715
253.666,-225.879
253.688,-225.477
253.690,-176.064
253.699,-255.846
253.709,-169.581
253.716,-225.611
253.726,-225.745
253.737,-175.662
253.747,-255.846
253.756,-170.268
253.767,-225.343
253.776,-225.611
253.797,-176.064
253.798,-255.846
253.807,-169.581
253.819,-224.657
253.828,-226.281
253.846,-176.064
253.848,-256.248
253.857,-171.474
253.870,-225.343
253.877,-227.085
253.887,-175.260
253.905,-255.846
253.907,-170.804
253.919,-224.657
253.929,-227.638
253.936,-175.126
253.956,-256.516
253.958,-171.876
253.969,-225.209
253.978,-228.576
253.986,-175.528
253.996,-256.114
254.014,-171.340
254.017,-223.853
254.028,-228.174
254.038,-174.724
254.046,-255.846
254.064,-172.010
254.068,-223.853
254.077,-228.576
254.086,-174.992
254.096,-256.114
254.106,-172.429
254.122,-223.853
254.127,-229.514
254.137,-173.903
254.148,-255.846
254.156,-171.608
254.172,-223.317
254.178,-229.933
254.187,-173.501
254.197,-255.980
254.206,-172.010
254.217,-222.764
254.231,-229.933
254.240,-173.769
254.247,-255.578
254.256,-172.429
254.267,-221.826
254.279,-229.782
254.292,-173.099
254.297,-255.578
254.309,-172.563
254.316,-222.362
254.326,-230.335
254.340,-173.769
254.346,-255.176
254.357,-172.429
254.366,-221.692
254.376,-230.603
254.387,-173.099
254.400,-255.846
254.409,-173.367
254.417,-221.826
254.426,-231.273
254.447,-173.233
254.449,-254.891
254.458,-173.233
254.467,-221.290
254.478,-231.139
254.494,-172.429
254.497,-255.176
254.509,-173.367
254.520,-221.290
254.527,-231.809
254.537,-172.831
254.556,-255.712
254.558,-173.769
254.570,-221.290
254.580,-232.228
254.588,-172.563
254.607,-255.578
254.609,-174.171
254.618,-220.620
254.627,-232.496
254.639,-171.742
254.646,-254.087
254.666,-173.099
254.668,-219.397
254.681,-232.077
254.691,-171.206
254.698,-254.355
254.706,-173.769
254.717,-220.335
254.730,-233.300
254.740,-171.474
254.748,-254.623
254.757,-173.769
254.775,-219.531
254.777,-233.568
254.786,-171.072
254.799,-254.891
254.808,-174.037
254.826,-219.531
254.829,-233.836
254.839,-171.206
254.851,-254.087
254.859,-175.260
254.866,-219.397
254.876,-234.104
254.886,-170.938
254.899,-254.355
254.908,-174.590
254.916,-218.727
